stem,method,mode,flights,assigned,unassigned,status,objective,gap_pct,cpu_s,wall_s,num_vars,num_constraints,returncode
I11_density=0.5_p=8_h=7,integrated_milp,milp,,,,solver_limit,,,,2.02,,,1
I12_density=0.65_p=8_h=7,integrated_milp,milp,,,,solver_limit,,,,2.06,,,1
I13_density=0.8_p=8_h=7,integrated_milp,milp,,,,solver_limit,,,,2.15,,,1
I14_density=0.95_p=8_h=7,integrated_milp,milp,,,,solver_limit,,,,2.21,,,1
I15_density=1_p=8_h=7,integrated_milp,milp,,,,solver_limit,,,,2.27,,,1
I21_density=0.5_p=10_h=10,integrated_milp,milp,,,,solver_limit,,,,2.65,,,1
I22_density=0.65_p=10_h=10,integrated_milp,milp,,,,solver_limit,,,,3.01,,,1
I23_density=0.8_p=10_h=10,integrated_milp,milp,,,,solver_limit,,,,3.41,,,1
I24_density=0.95_p=10_h=10,integrated_milp,milp,,,,solver_limit,,,,3.67,,,1
I25_density=1_p=10_h=10,integrated_milp,milp,,,,solver_limit,,,,4.16,,,1
I31_density=0.5_p=12_h=14,integrated_milp,milp,,,,solver_limit,,,,4.87,,,1
I32_density=0.65_p=12_h=14,integrated_milp,milp,,,,solver_limit,,,,5.78,,,1
I33_density=0.8_p=12_h=14,integrated_milp,milp,,,,solver_limit,,,,6.85,,,1
I34_density=0.95_p=12_h=14,integrated_milp,milp,,,,solver_limit,,,,7.56,,,1
I35_density=1_p=12_h=14,integrated_milp,milp,,,,solver_limit,,,,8.14,,,1
I41_density=0.5_p=16_h=18,integrated_milp,milp,,,,solver_limit,,,,10.56,,,1
I42_density=0.65_p=16_h=18,integrated_milp,milp,,,,solver_limit,,,,12.94,,,1
I43_density=0.8_p=16_h=18,integrated_milp,milp,,,,solver_limit,,,,16.5,,,1
I44_density=0.95_p=16_h=18,integrated_milp,milp,,,,solver_limit,,,,20.24,,,1
I45_density=1_p=16_h=18,integrated_milp,milp,,,,solver_limit,,,,21.16,,,1
I51_density=0.5_p=20_h=21,integrated_milp,milp,,,,solver_limit,,,,20.5,,,1
I52_density=0.65_p=20_h=21,integrated_milp,milp,,,,solver_limit,,,,27.87,,,1
I53_density=0.8_p=20_h=21,integrated_milp,milp,,,,solver_limit,,,,34.2,,,1
I54_density=0.95_p=20_h=21,integrated_milp,milp,,,,solver_limit,,,,43.45,,,1
I55_density=1_p=20_h=21,integrated_milp,milp,,,,solver_limit,,,,48.3,,,1
