stem,method,mode,flights,assigned,unassigned,status,objective,gap_pct,cpu_s,wall_s,num_vars,num_constraints,returncode
I11_density=0.5_p=8_h=7,repair_heuristic,heuristic,28,28,0,heuristic,117298.0,,,1.78,,,0
I12_density=0.65_p=8_h=7,repair_heuristic,heuristic,36,36,0,heuristic,144686.0,,,1.78,,,0
I13_density=0.8_p=8_h=7,repair_heuristic,heuristic,45,45,0,heuristic,164514.0,,,1.89,,,0
I14_density=0.95_p=8_h=7,repair_heuristic,heuristic,53,53,0,heuristic,242846.0,,,1.84,,,0
I15_density=1_p=8_h=7,repair_heuristic,heuristic,56,55,1,heuristic,196808.0,,,1.76,,,0
I21_density=0.5_p=10_h=10,repair_heuristic,heuristic,50,50,0,heuristic,175912.0,,,1.82,,,0
I22_density=0.65_p=10_h=10,repair_heuristic,heuristic,65,65,0,heuristic,320225.0,,,1.82,,,0
I23_density=0.8_p=10_h=10,repair_heuristic,heuristic,80,80,0,heuristic,268270.0,,,1.94,,,0
I24_density=0.95_p=10_h=10,repair_heuristic,heuristic,95,95,0,heuristic,399934.0,,,2.19,,,0
I25_density=1_p=10_h=10,repair_heuristic,heuristic,100,100,0,heuristic,357844.0,,,1.94,,,0
I31_density=0.5_p=12_h=14,repair_heuristic,heuristic,84,84,0,heuristic,310726.0,,,2.06,,,0
I32_density=0.65_p=12_h=14,repair_heuristic,heuristic,109,109,0,heuristic,336136.0,,,1.96,,,0
I33_density=0.8_p=12_h=14,repair_heuristic,heuristic,134,134,0,heuristic,429968.0,,,2.05,,,0
I34_density=0.95_p=12_h=14,repair_heuristic,heuristic,160,160,0,heuristic,594262.0,,,2.13,,,0
I35_density=1_p=12_h=14,repair_heuristic,heuristic,168,168,0,heuristic,550873.0,,,2.19,,,0
I41_density=0.5_p=16_h=18,repair_heuristic,heuristic,144,144,0,heuristic,495609.0,,,2.08,,,0
I42_density=0.65_p=16_h=18,repair_heuristic,heuristic,187,187,0,heuristic,658318.0,,,2.31,,,0
I43_density=0.8_p=16_h=18,repair_heuristic,heuristic,230,230,0,heuristic,716243.0,,,2.63,,,0
I44_density=0.95_p=16_h=18,repair_heuristic,heuristic,274,274,0,heuristic,877252.0,,,2.67,,,0
I45_density=1_p=16_h=18,repair_heuristic,heuristic,288,288,0,heuristic,900073.0,,,2.51,,,0
I51_density=0.5_p=20_h=21,repair_heuristic,heuristic,210,210,0,heuristic,596275.0,,,2.24,,,0
I52_density=0.65_p=20_h=21,repair_heuristic,heuristic,273,273,0,heuristic,800619.0,,,2.91,,,0
I53_density=0.8_p=20_h=21,repair_heuristic,heuristic,336,336,0,heuristic,923798.0,,,2.87,,,0
I54_density=0.95_p=20_h=21,repair_heuristic,heuristic,399,399,0,heuristic,1257872.0,,,2.94,,,0
I55_density=1_p=20_h=21,repair_heuristic,heuristic,420,420,0,heuristic,1138578.0,,,2.95,,,0
