method,density,p,h,status,num_vars,num_constraints,cpu_s,wall_s,objective,gap_pct
classical_milp,0.5,10,7,optimal,14540,3582,1.06,3.45,827758.0,0.0
classical_milp,0.95,10,7,infeasible,10320,1686,,2.37,,
classical_milp,1.0,10,7,infeasible,10480,1870,,2.89,,
classical_milp,0.5,10,15,optimal,37590,3080,0.75,3.83,1132028.0,0.0
classical_milp,0.95,10,15,infeasible,32560,3892,,3.35,,
classical_milp,1.0,10,15,infeasible,32760,4080,,3.17,,
classical_milp,0.5,10,21,optimal,37790,1879,0.41,3.35,879863.0,0.0
classical_milp,1.0,10,21,infeasible,60620,5840,,4.35,,
classical_milp,1.0,10,30,ERROR,,,,128.69,,
classical_milp,0.95,20,7,infeasible,39280,10433,,4.21,,
classical_milp,1.0,20,7,infeasible,39320,11940,,4.09,,
classical_milp,0.95,20,15,infeasible,129480,22025,,25.52,,
classical_milp,1.0,20,15,infeasible,133440,24780,,20.51,,
classical_milp,1.0,20,21,infeasible,236280,34920,,54.11,,
integrated_milp,0.5,10,7,optimal,14540,42899,48.57,52.97,827858.0,0.0
integrated_milp,0.95,10,7,infeasible,10320,14014,,4.8,,
integrated_milp,1.0,10,7,infeasible,10480,14899,,4.67,,
integrated_milp,0.5,10,15,optimal,37590,93426,47.03,55.0,1132028.0,0.0
integrated_milp,0.95,10,15,infeasible,32560,43362,,25.98,,
integrated_milp,1.0,10,15,infeasible,32760,41047,,25.02,,
integrated_milp,0.5,10,21,optimal,37790,80412,33.22,40.73,880853.0,0.0
integrated_milp,1.0,10,21,infeasible,60620,75794,,79.34,,
integrated_milp,1.0,10,30,ERROR,,,,162.62,,
integrated_milp,0.95,20,7,ERROR,,,,127.32,,
integrated_milp,1.0,20,7,infeasible,39320,69333,,85.11,,
integrated_milp,0.95,20,15,ERROR,,,,139.82,,
integrated_milp,1.0,20,15,ERROR,,,,140.26,,
integrated_milp,1.0,20,21,ERROR,,,,158.1,,
