+Requests: 6
req0;z27;0;660;685;car4,car3,car6,car2,car0,car7,car11,car8,car9,car10,car5;100;20
req1;z32;0;870;383;car4,car3,car6,car2,car0,car7,car11,car8,car9,car10,car5;100;20
req2;z18;0;870;322;car4,car3,car6,car2,car0,car7,car11,car8,car9,car10,car5;100;20
req3;z34;0;840;364;car12;100;20
req4;z33;0;705;517;car4,car3,car6,car2,car0,car7,car11,car8,car9,car10,car5;100;20
req5;z34;0;705;654;car4,car3,car6,car2,car0,car7,car11,car8,car9,car10,car5;100;20
+Zones: 49
z0;z1,z7,z8
z1;z0,z2,z7,z8,z9
z2;z1,z3,z8,z9,z10
z3;z2,z4,z9,z10,z11
z4;z3,z5,z10,z11,z12
z5;z4,z6,z11,z12,z13
z6;z5,z12,z13
z7;z0,z1,z8,z14,z15
z8;z0,z16,z1,z2,z7,z9,z14,z15
z9;z16,z1,z17,z2,z3,z8,z10,z15
z10;z16,z17,z2,z18,z3,z4,z9,z11
z11;z17,z18,z3,z19,z4,z5,z10,z12
z12;z18,z19,z4,z20,z5,z6,z11,z13
z13;z19,z20,z5,z6,z12
z14;z21,z22,z7,z8,z15
z15;z16,z21,z22,z7,z23,z8,z9,z14
z16;z17,z22,z23,z8,z24,z9,z10,z15
z17;z16,z18,z23,z24,z9,z25,z10,z11
z18;z17,z19,z24,z25,z10,z26,z11,z12
z19;z18,z20,z25,z26,z11,z27,z12,z13
z20;z19,z26,z27,z12,z13
z21;z22,z28,z29,z14,z15
z22;z16,z21,z23,z28,z29,z14,z30,z15
z23;z16,z17,z22,z24,z29,z30,z15,z31
z24;z16,z32,z17,z18,z23,z25,z30,z31
z25;z32,z17,z33,z18,z19,z24,z26,z31
z26;z32,z33,z18,z34,z19,z20,z25,z27
z27;z33,z34,z19,z20,z26
z28;z35,z36,z21,z22,z29
z29;z35,z36,z21,z37,z22,z23,z28,z30
z30;z36,z37,z22,z38,z23,z24,z29,z31
z31;z32,z37,z38,z23,z39,z24,z25,z30
z32;z33,z38,z39,z24,z40,z25,z26,z31
z33;z32,z34,z39,z40,z25,z41,z26,z27
z34;z33,z40,z41,z26,z27
z35;z36,z42,z43,z28,z29
z36;z35,z37,z42,z43,z28,z44,z29,z30
z37;z36,z38,z43,z44,z29,z45,z30,z31
z38;z32,z37,z39,z44,z45,z30,z46,z31
z39;z32,z33,z38,z40,z45,z46,z31,z47
z40;z32,z48,z33,z34,z39,z41,z46,z47
z41;z48,z33,z34,z40,z47
z42;z35,z36,z43
z43;z35,z36,z37,z42,z44
z44;z36,z37,z38,z43,z45
z45;z37,z38,z39,z44,z46
z46;z38,z39,z40,z45,z47
z47;z48,z39,z40,z41,z46
z48;z40,z41,z47
+Vehicles: 13
car0
car1
car2
car3
car4
car5
car6
car7
car8
car9
car10
car11
car12
+Days: 1
